depth,width,grid_size,params,accuracy,time_sec
2,2,3,1910,79.35483870967742,3.422496795654297
2,4,3,6854,79.35483870967742,3.530073404312134
2,8,3,25862,79.35483870967742,4.043973922729492
2,16,3,100358,79.35483870967742,8.222084522247314
2,32,3,395270,79.6774193548387,17.41965126991272
2,64,3,1568774,80.0,33.66055417060852
3,2,3,7990,79.35483870967742,4.539299011230469
3,4,3,31156,82.58064516129032,4.632658243179321
3,8,3,123040,81.93548387096774,5.042637825012207
3,16,3,489016,85.16129032258064,9.422719478607178
3,32,3,1949800,81.61290322580645,20.456286191940308
3,64,3,7786696,79.35483870967742,43.10169172286987
4,2,3,32292,86.7741935483871,5.764432430267334
4,4,3,128334,86.7741935483871,5.6352314949035645
4,8,3,511698,87.09677419354838,5.922209739685059
4,16,3,2043546,88.06451612903226,10.004270315170288
4,32,3,8167722,87.09677419354838,21.61605668067932
4,64,3,32657994,84.19354838709677,47.08167004585266
2,2,5,2450,79.35483870967742,3.5773346424102783
2,4,5,8798,80.3225806451613,3.888789176940918
2,8,5,33206,79.6774193548387,4.954060077667236
2,16,5,128870,79.6774193548387,9.885125875473022
2,32,5,507590,80.64516129032258,20.782952785491943
2,64,5,2014598,81.93548387096774,40.93956637382507
3,2,5,10258,81.93548387096774,4.786839008331299
3,4,5,40012,83.2258064516129,4.77297568321228
3,8,5,158032,86.12903225806451,5.655930280685425
3,16,5,628120,87.41935483870968,11.55158281326294
3,32,5,2504488,86.12903225806451,24.8031063079834
3,64,5,10001992,79.35483870967742,53.43431043624878
4,2,5,41472,87.41935483870968,5.487083196640015
4,4,5,164838,87.41935483870968,5.890640020370483
4,8,5,657282,87.09677419354838,6.480229139328003
4,16,5,2625018,87.09677419354838,12.28794813156128
4,32,5,10491882,87.41935483870968,26.334583044052124
4,64,5,41951178,86.7741935483871,58.36390686035156
