model_type,depth,width_factor,grid_size,spline_order,params,accuracy,f1,vram_gb,time_sec,config_str
cnn,2,2,0,0,318,79.35483870967742,0.7022046878626131,0.046040576,4.2191150188446045,D2W2
cnn,2,4,0,0,1054,79.35483870967742,0.7022046878626131,0.071161344,3.4995477199554443,D2W4
cnn,2,8,0,0,3898,83.2258064516129,0.7726392852923702,0.123189248,3.1778769493103027,D2W8
cnn,2,16,0,0,14962,83.87096774193549,0.7245023206896162,0.22200576,3.743741273880005,D2W16
cnn,2,32,0,0,58594,84.19354838709677,0.8107698012036166,0.42658304,6.129907608032227,D2W32
cnn,2,64,0,0,231874,84.19354838709677,0.7919134068830388,0.82950912,9.853616714477539,D2W64
cnn,3,2,0,0,1222,84.51612903225806,0.8334818190333254,0.82950912,3.823683500289917,D3W2
cnn,3,4,0,0,4666,87.09677419354838,0.8372689376336732,0.82950912,3.7533397674560547,D3W4
cnn,3,8,0,0,18226,86.12903225806451,0.8341886975503274,0.82950912,3.7640199661254883,D3W8
cnn,3,16,0,0,72034,86.12903225806451,0.845704221621908,0.82950912,4.068993091583252,D3W16
cnn,3,32,0,0,286402,87.09677419354838,0.8306395931549055,0.82950912,6.5493738651275635,D3W32
cnn,3,64,0,0,1142146,87.09677419354838,0.8667854552266603,0.844557312,11.281927585601807,D3W64
cnn,4,2,0,0,4834,87.41935483870968,0.8108274640742911,0.844557312,3.9985313415527344,D4W2
cnn,4,4,0,0,18994,86.7741935483871,0.8478103394696208,0.844557312,3.916957378387451,D4W4
cnn,4,8,0,0,75298,87.09677419354838,0.822822761442062,0.844557312,3.9848713874816895,D4W8
cnn,4,16,0,0,299842,87.74193548387096,0.8195054270564351,0.844557312,4.443509101867676,D4W16
cnn,4,32,0,0,1196674,86.7741935483871,0.8359950822551373,0.844557312,6.858043670654297,D4W32
cnn,4,64,0,0,4781314,88.70967741935483,0.8330551196533322,0.913585152,11.971742630004883,D4W64
